,Clean_text,Views_per_day
104,"['khalistan', 'movement']",4444.0
105,"['global', 'summit', 'china', 'military', 'power', 'provocations', 'propaganda', 'session']",4444.0
106,"['indians', 'south', 'africa']",4848.0
107,"['standoff', 'south', 'china', 'sea', 'indonesia', 'message', 'china']",2222.0
108,"['actor', 'puneeth', 'rajkumar', 'death', 'risk', 'workout']",7619.0
109,"['talk', 'belarus', 'border', 'lukashenko', 'zelensky', 'invasion']",17778.0
110,"['nuclear', 'response', 'team', 'report', 'fire', 'europe', 'plant']",17778.0
111,"['americans', 'passport']",53333.0
112,"['violence', 'escalates', 'palestinians', 'israelis', 'gaza', 'airstrikes']",4444.0
113,"['israel', 'hamas', 'exchange', 'rocket', 'fire']",4444.0
114,"['subscriber', 'netflix']",26667.0
115,"['india', 'fear', 'taliban', 'target', 'indian', 'project']",4848.0
116,"['russia', 'enters', 'kyiv', 'day', 'invasion']",17778.0
117,"['clashes', 'troop', 'naku', 'sikkim', 'border']",4444.0
118,"['kashmiri', 'militant', 'cricket', 'wicket']",1111.0
119,"['china', 'ownership', 'city']",4167.0
120,"['rich', 'country', 'india', 'america', 'disease', 'expert']",4167.0
121,"['family', 'balcony']",25000.0
122,"['apple', 'nokia']",4167.0
123,"['light', 'poland', 'jet', 'us', 'migs', 'jets']",16667.0
124,"['pakistan', 'woman', 'men', 'faisalabad']",8333.0
125,"['michigan', 'nurse', 'video', 'covid', 'coronavirus']",2083.0
126,"['plus', 'taliban', 'rise', 'threat', 'india']",4545.0
127,"['pfizer', 'vaccine', 'deal']",4167.0
128,"['israel', 'people', 'covid', 'pfizer', 'vaccine']",4167.0
129,"['videos', 'life', 'taliban']",5000.0
130,"['china', 'belt', 'road', 'initiative']",8333.0
131,"['how', 'nature', 'space']",2083.0
132,"['russia', 'air', 'force', 'action']",16667.0
133,"['russia', 'ukraine', 'conflict', 'series', 'explosion', 'ukraine', 'capital', 'kyiv', 'city']",16667.0
134,"['bill', 'gates', 'vaccine', 'formula']",4167.0
135,"['north', 'korea', 'country']",4167.0
136,"['ukraine', 'direct', 'inside', 'ukraine', 'training', 'camp', 'fighter']",12500.0
137,"['rifles', 'battalion', 'call', 'duty', 'kashmir']",1042.0
138,"['finland', 'war', 'russia']",23333.0
139,[],15556.0
140,"['refugee', 'ukraine', 'originals']",15556.0
141,"['interview', 'taiwan', 'foreign', 'minister', 'china']",3889.0
142,"['bolsonaro', 'vaccine', 'sideeffects']",3889.0
143,"['russia', 'ukraine']",15556.0
144,"['biggest', 'covid', 'scam']",7778.0
145,"['how', 'britain', 'trillion', 'india']",1296.0
146,"['thousands', 'cow', 'bangladesh', 'smallest', 'cow', 'guinness', 'records']",4242.0
